Student ID,Gender,Type of Examinee,Pre-assessment 2025,Anatomy,Physiology,Parasitology,Pharmacology,Pathology,Zootechnics,Microbiology & Public Health,Medicine,Surgery,Post-assessment 2025,Pre-assessment 2025_last,Anatomy_last,Physiology_last,Parasitology_last,Pharmacology_last,Pathology_last,Zootechnics_last,Microbiology & Public Health_last,Medicine_last,Surgery_last,Post-assessment 2025_last,Pre-assessment 2025_best,Anatomy_best,Physiology_best,Parasitology_best,Pharmacology_best,Pathology_best,Zootechnics_best,Microbiology & Public Health_best,Medicine_best,Surgery_best,Post-assessment 2025_best,avg_best_score,max_best_score,avg_first_score,avg_last_score,total_attempts,avg_attempts,avg_improvement,score_std,num_exams,Licensure Exam Result
Student 173,Male,Repeater,69,52,,,,,,,,,,69,59,,,,,,,,,,69,59,,,,,,,,,,64,69,60.5,64,4,2,3.5,7.071067812,2,1
Student 174,Male,First Taker,60,77,79,,,,89,75,,,77,84,88,79,,,,89,77,,,77,84,88,79,,,,89,77,,,77,82.33333333,89,76.16666667,82.33333333,9,1.5,6.166666667,5.428320796,6,1
Student 175,,Repeater,34,37,,,,,,,,,,34,37,,,,,,,,,,34,37,,,,,,,,,,35.5,37,35.5,35.5,2,1,0,2.121320344,2,0
Student 176,Male,Repeater,38,47,62,59,58,51,73,73,69,70,62,38,61,70,59,63,52,73,71,69,77,62,38,61,70,59,63,52,73,73,69,77,62,63.36363636,77,60.18181818,63.18181818,18,1.636363636,3,11.16488,11,1
Student 177,Female,First Taker,43,51,60,56,46,43,68,,68,,68,27,74,66,56,55,43,83,,95,,68,43,96,66,56,55,43,93,,95,,68,68.33333333,96,55.88888889,63,22,2.444444444,7.111111111,21.51743479,9,1
Student 178,Male,First Taker,26,39,67,58,53,,62,,71,,,26,60,67,58,53,,64,,71,,,26,60,67,58,53,,64,,71,,,57,71,53.71428571,57,9,1.285714286,3.285714286,14.89966443,7,1
Student 179,Male,First Taker,53,,,25,,,,27,31,17,,53,,,26,,,,32,31,17,,53,,,26,,,,32,31,17,,31.8,53,30.6,31.8,7,1.4,1.2,13.25518766,5,1
Student 180,Female,First Taker,51,62,77,72,71,61,86,80,77,77,86,51,69,77,72,71,61,86,80,77,77,86,51,90,77,72,71,61,86,80,77,77,86,75.27272727,90,72.72727273,73.36363636,13,1.181818182,0.6363636364,11.40255155,11,1
Student 181,Female,First Taker,41,55,76,69,57,60,71,74,67,70,,66,76,81,70,74,65,85,72,82,79,,66,91,81,70,74,65,85,74,98,79,,78.3,98,64,75,25,2.5,11,10.72950242,10,1
Student 182,Female,First Taker,62,56,71,85,66,65,73,83,81,,86,80,99,98,85,82,54,75,83,81,,86,80,99,98,85,82,65,75,83,81,,86,83.4,99,72.8,82.3,29,2.9,9.5,9.968840343,10,1
